GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.3,0.0,3.2,-0.1,-0.1,0.1,-38.0,7.0,-27.0,297.0,0.0,-71.0,16,2014-12-28 22:02:38:796
9.3,0.0,3.2,-0.1,-0.1,0.1,-38.0,7.0,-27.0,297.0,0.0,-71.0,116,2014-12-28 22:02:38:896
9.3,0.0,3.1,0.2,-0.1,0.1,-38.0,7.0,-27.0,298.0,0.0,-71.0,216,2014-12-28 22:02:38:996
9.3,0.0,3.1,0.2,-0.1,0.1,-38.0,7.0,-27.0,298.0,0.0,-71.0,317,2014-12-28 22:02:39:097
9.3,0.0,3.1,0.2,-0.1,0.1,-38.0,7.0,-27.0,298.0,0.0,-71.0,416,2014-12-28 22:02:39:196
9.3,0.0,3.1,0.2,-0.1,0.1,-38.0,7.0,-27.0,298.0,0.0,-71.0,516,2014-12-28 22:02:39:296
9.4,0.0,2.9,0.1,-0.1,0.0,-38.0,7.0,-26.0,298.0,0.0,-73.0,617,2014-12-28 22:02:39:397
9.4,0.0,2.9,0.1,-0.1,0.0,-38.0,7.0,-26.0,298.0,0.0,-73.0,717,2014-12-28 22:02:39:497
9.4,0.0,2.9,0.1,-0.1,0.0,-38.0,7.0,-26.0,298.0,0.0,-73.0,818,2014-12-28 22:02:39:598
9.4,0.1,2.7,0.2,0.0,0.1,-39.0,8.0,-25.0,302.0,0.0,-74.0,917,2014-12-28 22:02:39:697
9.4,0.1,2.7,0.2,0.0,0.1,-39.0,8.0,-25.0,302.0,0.0,-74.0,1017,2014-12-28 22:02:39:797
9.4,0.1,2.7,0.2,0.0,0.1,-39.0,8.0,-25.0,302.0,0.0,-74.0,1117,2014-12-28 22:02:39:897
9.4,0.1,2.7,0.2,0.0,0.1,-39.0,8.0,-25.0,302.0,0.0,-74.0,1217,2014-12-28 22:02:39:997
9.5,0.0,2.6,0.2,0.0,0.1,-39.0,8.0,-25.0,301.0,0.0,-75.0,1316,2014-12-28 22:02:40:096
9.5,0.0,2.6,0.2,0.0,0.1,-39.0,8.0,-25.0,301.0,0.0,-75.0,1416,2014-12-28 22:02:40:196
9.5,0.0,2.6,0.2,0.0,0.1,-39.0,8.0,-25.0,301.0,0.0,-75.0,1517,2014-12-28 22:02:40:297
9.5,0.0,2.5,0.0,-0.1,0.1,-39.0,8.0,-24.0,301.0,0.0,-75.0,1617,2014-12-28 22:02:40:397
9.5,0.0,2.5,0.0,-0.1,0.1,-39.0,8.0,-24.0,301.0,0.0,-75.0,1716,2014-12-28 22:02:40:496
9.5,0.0,2.5,0.0,-0.1,0.1,-39.0,8.0,-24.0,301.0,0.0,-75.0,1817,2014-12-28 22:02:40:597
9.5,0.0,2.5,0.0,-0.1,0.1,-39.0,8.0,-24.0,301.0,0.0,-75.0,1917,2014-12-28 22:02:40:697
9.5,0.0,2.4,0.1,-0.1,0.0,-39.0,7.0,-24.0,297.0,0.0,-76.0,2017,2014-12-28 22:02:40:797
9.5,0.0,2.4,0.1,-0.1,0.0,-39.0,7.0,-24.0,297.0,0.0,-76.0,2116,2014-12-28 22:02:40:896
